Weekday,TimeRange,TotalCrashes
Sunday,0-2,397
Sunday,0-4,333
Sunday,10-12,890
Sunday,12-14,1235
Sunday,14-16,1350
Sunday,16-18,1398
Sunday,18-20,981
Sunday,20-22,667
Sunday,22-24,420
Sunday,4-6,196
Sunday,6-8,364
Sunday,8-10,675
Monday,0-2,329
Monday,0-4,214
Monday,10-12,1047
Monday,12-14,1328
Monday,14-16,1505
Monday,16-18,1838
Monday,18-20,1044
Monday,20-22,672
Monday,22-24,477
Monday,4-6,203
Monday,6-8,616
Monday,8-10,932
Tuesday,0-2,346
Tuesday,0-4,209
Tuesday,10-12,1064
Tuesday,12-14,1392
Tuesday,14-16,1502
Tuesday,16-18,1796
Tuesday,18-20,1095
Tuesday,20-22,714
Tuesday,22-24,476
Tuesday,4-6,187
Tuesday,6-8,649
Tuesday,8-10,992
Wednesday,0-2,313
Wednesday,0-4,228
Wednesday,10-12,1072
Wednesday,12-14,1455
Wednesday,14-16,1609
Wednesday,16-18,1846
Wednesday,18-20,1135
Wednesday,20-22,699
Wednesday,22-24,543
Wednesday,4-6,215
Wednesday,6-8,693
Wednesday,8-10,1015
Thursday,0-2,295
Thursday,0-4,232
Thursday,10-12,1087
Thursday,12-14,1409
Thursday,14-16,1540
Thursday,16-18,1822
Thursday,18-20,1126
Thursday,20-22,698
Thursday,22-24,487
Thursday,4-6,211
Thursday,6-8,659
Thursday,8-10,972
Friday,0-2,358
Friday,0-4,317
Friday,10-12,1122
Friday,12-14,1573
Friday,14-16,1780
Friday,16-18,1929
Friday,18-20,1253
Friday,20-22,758
Friday,22-24,561
Friday,4-6,177
Friday,6-8,650
Friday,8-10,953
Saturday,0-2,460
Saturday,0-4,274
Saturday,10-12,1033
Saturday,12-14,1381
Saturday,14-16,1351
Saturday,16-18,1510
Saturday,18-20,1017
Saturday,20-22,753
Saturday,22-24,573
Saturday,4-6,205
Saturday,6-8,452
Saturday,8-10,753
