Institution,MNI,AFO
Univ. of California,9336,117431
Ohio History Connection (formerly the Ohio Historical Society),7167,110276
Illinois State Museum,7007,36179
Harvard University,6165,13615
Indiana University,4838,7613
Univ. of Kentucky,4366,4736
Univ. of Tennessee,3936,56999
U.S. Dept. of Interior,2970,9434
Univ. of Alabama Museums,2887,3890
Univ. of Florida,2589,2664
Univ. of Missouri,2472,8006
Univ. of Arizona,2470,1603
Univ. of Oklahoma,2311,12187
Center for American Archeology,1947,8877
U.S. Dept. of Defense,1926,6178
Univ. of Texas at Austin,1905,8442
American Museum of Natural History,1898,4081
Milwaukee Public Museum,1600,681
Florida Dept. of State,1426,6498
Field Museum,1318,964
Rochester Museum and Science Center,999,1821
Cal. State,986,4742
Southern Illinois Univ.,986,1235
State Museum of Pennsylvania,908,79628
Arizona State Univ.,786,1362
Univ. of Michigan Museum of Anthropology,781,8734
Museum of New Mexico,779,497
Auburn Univ.,767,50002
U.S. Dept. of Agriculture,764,736
Univ. of Illinois,761,12456
Carnegie Museum of Natural History,647,14402
Univ. of North Carolina at Chapel Hill,641,512
New York State Museum,584,1390
Univ. of New Mexico,583,259
Mississippi Dept. of Archives and History,513,75
Florida State Univ.,508,282
Cincinnati Museum Center,500,673
Nassau County Dept. of Parks and Recreation,488,37
Cleveland Museum of Natural History,476,416
Virginia Department of Conservation and Recreation,450,2140
Dayton Museum of Natural History,438,2707
Natural History Museum of Utah,416,176
Univ. of Pennsylvania Museum of Archaeology and Anthropology,404,11
San Jose State Univ.,394,0
Wickliffe Mounds State Historic Site,383,5
Univ. of Kansas,380,554
Museum of Texas Tech Univ.,377,2830
Tennessee Dept. of Environment and Conservation,374,483
Yale Univ.,366,665
West Virginia Division of Culture and History,365,774
West Texas A and M Univ.,362,1915
San Francisco State Univ.,359,22400
California Dept. of Parks and Recreation,356,7032
Los Angeles County Natural History Museum,353,1
Western Kentucky Univ.,351,929
Missouri Dept. of Natural Resources,319,242
Kansas State Historical Society,312,38059
Gilcrease Museum,307,175
Univ. of Texas at San Antonio,294,595
Mississippi State Univ.,277,50
Sonoma State University,267,5465
Virginia Dept. of Historic Resources,261,2548
Univ. of Louisville,259,2
North Carolina Office of State Archaeology,259,4154
Univ. of South Carolina,252,9742
Ball State Univ.,252,3948
Wisconsin Historical Society,239,96
Indiana State Univ.,232,92
Univ. of Wisconsin,222,98
Univ. of Toledo,210,3920
Missouri Dept. of Transportation,196,447
Arizona State Parks and Trails,191,1261
Univ. of Alaska Museum of the North,191,22
California Univ. of Pennsylvania,183,308
HistoryMiami Museum,160,1100
East Carolina Univ.,152,4
Beloit College,151,3117
SUNY,143,70
Univ. of South Florida,142,1
Fernbank Museum of Natural History,141,37
Univ. of Georgia,141,853
Univ. of Cincinnati,140,0
Maryland Historical Trust,139,93
Univ. of Wyoming,137,126
Idaho State Historical Society,136,111
Univ. of Louisiana at Monroe,135,49
Graves Museum of Archaeology and Natural History,131,4
Georgia Dept. of Natural Resources,127,34
Autry Museum of the American West (formerly Southwest Museum of the American Indian),125,74
Univ. of Arkansas Museum,125,1410
North Museum of Nature and Science,120,8
Utah Dept. of Natural Resources,118,176
Temple University,116,77
Texas State University,114,200
Hawaii Dept. of Land and Natural Resources,114,4
New York University,113,0
Louisiana State Univ.,112,454
Robert S. Peabody Institute of Archaeology,106,238
Los Angeles County,103,4
Univ. of Nevada,99,137
Brown Univ.,99,21
Western Reserve Historical Society,99,6
Wake Forest Univ.,98,2453
Sarasota County History Center,93,5
Minnesota Indian Affairs Council,90,54
Earlham College,89,0
Central Washington Univ.,88,0
Filoli Center,85,5053
Univ. of Memphis,85,1
Brigham Young Univ.,81,68
Hastings Museum,81,1
Charleston Museum,80,229
Alabama Department of Archives & History,78,6641
Grand Rapids Public Museum (formerly Public Museum of West Michigan),77,202
Indiana State Museum and Historic Sites Corporation,77,42
San Diego State Univ.,76,0
Oshkosh Public Museum,74,158
Allen County Museum and Historical Society,73,28
Buffalo Museum of Science,72,813
Bowers Museum,70,15
Witte Museum,70,40
Tioga Point Museum,70,20
Museum of Northern Arizona,70,20
California Dept. of Transportation,69,14
Western Colorado University,67,0
Southern Utah Univ. Archeological Repository,64,58
Univ. of Oregon Museum of Natural and Cultural History,63,180
Oregon State Univ.,63,8
Western Washington University,63,30
South Dakota State Historical Society,63,171
Lawrence Univ.,62,0
Trinidad State Junior College,62,36
Univ. of South Alabama,61,325
Univ. of Iowa,59,21
Southeast Missouri State Univ.,59,2
Museum of Us,56,84
Neville Public Museum,55,36
Texas A and M Univ.,55,0
Museum of Western Colorado,53,0
Northern Kentucky Univ.,52,17
Univ. of Minnesota,51,118
Univ. of Nebraska State Museum,49,6392
Mutter Museum,48,0
Univ. of Texas,47,11
Nevada State Museum,46,5
San Bernardino County Museum,46,44
Univ. of Indianapolis,46,2
New Mexico State Univ. Museum,45,7
Purdue University,42,8
Carlsbad Museum,42,29
New Mexico Highlands Univ.,42,3
South Carolina Dept. of Parks,42,228
St. Joseph Museums,40,11
